Grapheme	IPA
²¹³⁻³⁵$	³⁵/²¹³
²¹³⁻¹³$	¹³/²¹³
²¹³⁻⁴²$	⁴²/²¹³
²¹³⁻⁴⁴$	⁴⁴/²¹³
²¹³⁻⁵³$	⁵³/²¹³
²¹³⁻⁵⁵$	⁵⁵/²¹³
²¹⁴$	²¹⁴
²¹⁴⁻²¹$	²¹/²¹⁴
²¹⁴⁻³⁵$	³⁵/²¹⁴
²¹⁻²³$	²³/²¹
²¹⁻²⁴$	²⁴/²¹
²¹⁻³⁵$	³⁵/²¹
²¹⁻¹³$	¹³/²¹
²¹⁻⁵³$	⁵³/²¹
²¹⁻⁵⁴⁴$	⁵⁴⁴/²¹
²¹⁻⁵⁵$	⁵⁵/²¹
²⁴$	²⁴
²⁴²$	²⁴²
²⁴²⁻²¹$	²¹/²⁴²
²⁴²⁻³²$	³²/²⁴²
²⁴²⁻⁴⁴$	⁴⁴/²⁴²
²⁴²⁻⁵³$	⁵³/²⁴²
²⁴⁻$	²⁴
²⁴⁻²²$	²²/²⁴
²⁴⁻²¹$	²¹/²⁴
²⁴⁻³³$	³³/²⁴
²⁴⁻³⁵$	³⁵/²⁴
²⁴⁻¹¹$	¹¹/²⁴
²⁴⁻⁴²$	⁴²/²⁴
²⁴⁻⁴⁴$	⁴⁴/²⁴
²⁴⁻⁵$	⁵/²⁴
²⁴⁻⁵³$	⁵³/²⁴
²⁴⁻⁵⁵$	⁵⁵/²⁴
²⁵$	²⁵
²⁻³⁵$	³⁵/²
²⁻⁴⁵$	⁴⁵/²
²⁻⁵$	⁵/²
²⁻⁵⁴$	⁵⁴/²
³$	³
³*$	³/
³²$	³²
³²⁴$	³²⁴
³²⁴⁻³²$	³²/³²⁴
³²⁴⁻³⁵$	³⁵/³²⁴
³²⁻²¹$	²¹/³²
³²⁻³⁵$	³⁵/³²
³²⁻⁴⁴$	⁴⁴/³²
³²⁻⁵$	⁵/³²
³²⁻⁵³$	⁵³/³²
³³$	³³
³³⁻$	³³
³³⁻²²$	²²/³³
³³⁻²¹$	²¹/³³
³³⁻³³⁵$	³³⁵/³³
³³⁻³¹$	³¹/³³
³³⁻³⁵$	³⁵/³³
³³⁻¹²$	¹²/³³
³³⁻¹¹$	¹¹/³³
³³⁻⁴²$	⁴²/³³
³³⁻⁵³$	⁵³/³³
³¹$	³¹
³¹²$	³¹²
³¹²⁻²⁴$	²⁴/³¹²
³¹²⁻³¹$	³¹/³¹²
³¹⁻$	³¹
³¹⁻²$	²/³¹
³¹⁻²²$	²²/³¹
³¹⁻²¹$	²¹/³¹
³¹⁻³³$	³³/³¹
³¹⁻³¹⁵$	³¹⁵/³¹
³¹⁻³⁵$	³⁵/³¹
³¹⁻¹²$	¹²/³¹
³¹⁻¹³$	¹³/³¹
³¹⁻¹¹$	¹¹/³¹
³¹⁻⁴²$	⁴²/³¹
³¹⁻⁴⁴$	⁴⁴/³¹
³¹⁻⁴⁵$	⁴⁵/³¹
³¹⁻⁵$	⁵/³¹
³¹⁻⁵³$	⁵³/³¹
³¹⁻⁵⁵$	⁵⁵/³¹
³⁴⁻³³$	³³/³⁴
³⁴⁻⁴⁴$	⁴⁴/³⁴
³⁵$	³⁵
³⁵⁻²$	²/³⁵
³⁵⁻²²$	²²/³⁵
³⁵⁻²³$	²³/³⁵
³⁵⁻²¹$	²¹/³⁵
³⁵⁻³³$	³³/³⁵
³⁵⁻³¹$	³¹/³⁵
³⁵⁻¹³$	¹³/³⁵
³⁵⁻⁴²$	⁴²/³⁵
³⁵⁻⁴⁴$	⁴⁴/³⁵
³⁵⁻⁴⁵$	⁴⁵/³⁵
³⁵⁻⁵³$	⁵³/³⁵
³⁵⁻⁵⁵$	⁵⁵/³⁵
³⁻²$	²/³
³⁻²¹$	²¹/³
³⁻³³$	³³/³
³⁻⁴⁴$	⁴⁴/³
¹$	¹
¹*$	¹/
¹²$	¹²
¹²⁻⁵⁵$	⁵⁵/¹²
¹³$	¹³
¹³⁻$	¹³
¹³⁻²²$	²²/¹³
¹³⁻²³$	²³/¹³
¹³⁻²¹$	²¹/¹³
¹³⁻³³$	³³/¹³
¹³⁻³¹$	³¹/¹³
¹³⁻³⁵$	³⁵/¹³
¹³⁻¹³$	¹³/¹³
¹³⁻¹¹$	¹¹/¹³
¹³⁻¹⁴$	¹⁴/¹³
¹³⁻⁴⁴$	⁴⁴/¹³
¹³⁻⁴⁵$	⁴⁵/¹³
¹³⁻⁵$	⁵/¹³
¹³⁻⁵³$	⁵³/¹³
¹³⁻⁵⁵$	⁵⁵/¹³
¹¹$	¹¹
¹¹⁻²²$	²²/¹¹
¹¹⁻²¹$	²¹/¹¹
¹¹⁻⁴⁵$	⁴⁵/¹¹
¹¹⁻⁵$	⁵/¹¹
¹¹⁻⁵³$	⁵³/¹¹
¹⁻²³$	²³/¹
¹⁻²¹$	²¹/¹
¹⁻¹$	¹/¹
¹⁻¹¹$	¹¹/¹
¹⁻⁴$	⁴/¹
⁰²$	⁰²/¹²
⁰⁴$	⁰⁴/¹⁴
⁴$	⁴
⁴*$	⁴/
⁴²$	⁴²
⁴²⁻²²$	²²/⁴²
⁴²⁻²¹$	²¹/⁴²
⁴²⁻³¹$	³¹/⁴²
⁴²⁻³⁵$	³⁵/⁴²
⁴²⁻¹²$	¹²/⁴²
⁴²⁻¹¹$	¹¹/⁴²
⁴²⁻⁴⁵$	⁴⁵/⁴²
⁴²⁻⁵³$	⁵³/⁴²
⁴²⁻⁵⁴⁴$	⁵⁴⁴/⁴²
⁴²⁻⁵⁵$	⁵⁵/⁴²
⁴³$	⁴³
⁴³⁻²¹$	²¹/⁴³
⁴¹$	⁴¹
⁴⁴$	⁴⁴
⁴⁴²$	⁴⁴²
⁴⁴²⁻⁵³$	⁵³/⁴⁴²
⁴⁴⁵$	⁴⁴⁵
⁴⁴⁵⁻³³$	³³/⁴⁴⁵
⁴⁴⁵⁻³¹$	³¹/⁴⁴⁵
⁴⁴⁻$	⁴⁴
⁴⁴⁻²¹$	²¹/⁴⁴
⁴⁴⁻²⁴$	²⁴/⁴⁴
⁴⁴⁻³²$	³²/⁴⁴
⁴⁴⁻³³$	³³/⁴⁴
⁴⁴⁻³⁵$	³⁵/⁴⁴
⁴⁴⁻⁴²$	⁴²/⁴⁴
⁴⁴⁻⁵³$	⁵³/⁴⁴
⁴⁵$	⁴⁵
⁴⁵⁻⁵³$	⁵³/⁴⁵
⁵$	⁵
⁵³$	⁵³
⁵³³$	⁵³³
⁵³⁻$	⁵³
⁵³⁻²³$	²³/⁵³
⁵³⁻²¹$	²¹/⁵³
⁵³⁻²¹³$	²¹³/⁵³
⁵³⁻²⁴$	²⁴/⁵³
⁵³⁻³²$	³²/⁵³
⁵³⁻³³$	³³/⁵³
⁵³⁻³¹$	³¹/⁵³
⁵³⁻³⁵$	³⁵/⁵³
⁵³⁻¹³$	¹³/⁵³
⁵³⁻¹¹$	¹¹/⁵³
⁵³⁻⁴²$	⁴²/⁵³
⁵³⁻⁴²³$	⁴²³/⁵³
⁵³⁻⁴⁴$	⁴⁴/⁵³
⁵³⁻⁴⁵$	⁴⁵/⁵³
⁵³⁻⁵$	⁵/⁵³
⁵³⁻⁵⁵$	⁵⁵/⁵³
⁵¹$	⁵¹
⁵¹³$	⁵¹³
⁵¹³⁻²¹$	²¹/⁵¹³
⁵¹³⁻³³$	³³/⁵¹³
⁵¹³⁻⁵¹$	⁵¹/⁵¹³
⁵¹³⁻⁵⁵$	⁵⁵/⁵¹³
⁵¹⁻²¹$	²¹/⁵¹
⁵¹⁻²¹³$	²¹³/⁵¹
⁵¹⁻³³$	³³/⁵¹
⁵¹⁻¹³$	¹³/⁵¹
⁵¹⁻⁴⁴$	⁴⁴/⁵¹
⁵¹⁻⁵³$	⁵³/⁵¹
⁵¹⁻⁵⁵$	⁵⁵/⁵¹
⁵⁴$	⁵⁴
⁵⁴⁻²$	²/⁵⁴
⁵⁵$	⁵⁵
⁵⁵⁻²²$	²²/⁵⁵
⁵⁵⁻²¹$	²¹/⁵⁵
⁵⁵⁻²¹³$	²¹³/⁵⁵
⁵⁵⁻³³$	³³/⁵⁵
⁵⁵⁻³¹$	³¹/⁵⁵
⁵⁵⁻³⁵$	³⁵/⁵⁵
⁵⁵⁻¹³$	¹³/⁵⁵
⁵⁵⁻⁴²$	⁴²/⁵⁵
⁵⁵⁻⁴⁴$	⁴⁴/⁵⁵
⁵⁵⁻⁴⁵$	⁴⁵/⁵⁵
⁵⁵⁻⁵³$	⁵³/⁵⁵
⁵⁵⁻⁵¹$	⁵¹/⁵⁵
⁵⁻²$	²/⁵
⁵⁻²³$	²³/⁵
⁵⁻²¹$	²¹/⁵
⁵⁻³$	³/⁵
⁵⁻³²$	³²/⁵
⁵⁻¹¹$	¹¹/⁵
